Date,Open,High,Low,Close,Adj Close,Volume
1988-01-04,1319.000000,1321.199951,1294.500000,1297.400024,1297.400024,0
1988-01-05,1298.000000,1310.699951,1297.599976,1309.300049,1309.300049,0
1988-01-06,1310.500000,1325.000000,1310.199951,1321.900024,1321.900024,0
1988-01-07,1321.599976,1324.400024,1315.400024,1316.599976,1316.599976,0
1988-01-08,1315.599976,1316.099976,1306.000000,1309.500000,1309.500000,0
1988-01-11,1295.099976,1296.000000,1256.800049,1266.199951,1266.199951,0
1988-01-12,1267.699951,1289.400024,1267.699951,1285.199951,1285.199951,0
1988-01-13,1284.599976,1284.599976,1271.900024,1272.800049,1272.800049,0
1988-01-14,1273.099976,1273.099976,1261.400024,1264.099976,1264.099976,0
1988-01-15,1264.500000,1278.300049,1264.199951,1277.500000,1277.500000,0
1988-01-18,1279.300049,1295.400024,1279.300049,1293.300049,1293.300049,0
1988-01-19,1293.599976,1298.900024,1290.400024,1298.699951,1298.699951,0
1988-01-20,1295.800049,1295.800049,1290.599976,1295.300049,1295.300049,0
1988-01-21,1294.500000,1294.500000,1276.599976,1276.599976,1276.599976,0
1988-01-22,1272.900024,1280.199951,1272.900024,1277.500000,1277.500000,0
1988-01-27,1277.800049,1277.800049,1266.400024,1269.500000,1269.500000,0
1988-01-28,1269.199951,1269.199951,1248.800049,1253.000000,1253.000000,0
1988-01-29,1256.099976,1258.500000,1252.800049,1257.099976,1257.099976,0
1988-02-01,1256.500000,1256.500000,1235.699951,1238.300049,1238.300049,0
1988-02-02,1238.300049,1241.199951,1230.599976,1240.599976,1240.599976,0
1988-02-03,1241.599976,1251.300049,1241.599976,1248.500000,1248.500000,0
1988-02-04,1241.699951,1241.699951,1220.800049,1223.099976,1223.099976,0
1988-02-05,1223.300049,1228.800049,1218.199951,1219.699951,1219.699951,0
1988-02-08,1218.500000,1219.000000,1202.300049,1203.199951,1203.199951,0
1988-02-09,1202.800049,1202.800049,1179.900024,1180.300049,1180.300049,0
1988-02-10,1180.599976,1183.599976,1169.599976,1170.699951,1170.699951,0
1988-02-11,1171.900024,1195.199951,1171.900024,1195.199951,1195.199951,0
1988-02-12,1196.000000,1199.699951,1196.000000,1199.400024,1199.400024,0
1988-02-15,1200.800049,1217.199951,1200.800049,1209.900024,1209.900024,0
1988-02-16,1210.800049,1220.699951,1208.000000,1214.900024,1214.900024,0
1988-02-17,1225.800049,1232.199951,1225.800049,1232.099976,1232.099976,0
1988-02-18,1234.400024,1243.900024,1234.400024,1243.599976,1243.599976,0
1988-02-19,1237.300049,1243.699951,1236.300049,1243.199951,1243.199951,0
1988-02-22,1244.199951,1252.699951,1244.099976,1250.699951,1250.699951,0
1988-02-23,1252.599976,1264.000000,1251.099976,1263.199951,1263.199951,0
1988-02-24,1262.800049,1262.800049,1257.099976,1257.900024,1257.900024,0
1988-02-25,1247.300049,1247.300049,1240.699951,1244.800049,1244.800049,0
1988-02-26,1243.199951,1243.199951,1236.300049,1240.900024,1240.900024,0
1988-02-29,1241.500000,1253.400024,1240.199951,1250.699951,1250.699951,0
