Code,Date,Open,High,Low,Close,Volume
XAO,20010101,null,null,null,null,null
XAO,20010102,3154.699951,3205.399902,3154.699951,3205.399902,0
XAO,20010103,3205.399902,3205.399902,3171,3180.5,0
XAO,20010104,3180.5,3235.600098,3180.5,3234.300049,0
XAO,20010105,3234.300049,3248,3225.300049,3240.699951,0
XAO,20010108,3240.699951,3240.699951,3198.199951,3207.5,0
XAO,20010109,3207.5,3207.600098,3183.199951,3189.399902,0
XAO,20010110,3189.399902,3191.800049,3174.699951,3184.5,0
XAO,20010111,3184.5,3184.5,3170.300049,3172.399902,0
XAO,20010112,3172.399902,3196,3172.399902,3188.600098,0
XAO,20010115,3188.600098,3199.800049,3185.100098,3195.100098,0
XAO,20010116,3195.100098,3195.100098,3184.300049,3184.300049,0
XAO,20010117,3184.300049,3198.399902,3178.399902,3198.399902,0
XAO,20010118,3198.399902,3244.399902,3198.199951,3232.5,0
XAO,20010119,3232.5,3260.699951,3232.5,3254.5,0
XAO,20010122,3254.5,3268.199951,3251.5,3263.899902,0
XAO,20010123,3263.899902,3264.199951,3233.5,3236.100098,0
XAO,20010124,3236.100098,3246.399902,3233.300049,3245.100098,0
XAO,20010125,3245.100098,3273.5,3245.100098,3268.199951,0
XAO,20010126,null,null,null,null,null
XAO,20010129,3268.199951,3271.399902,3250.300049,3265,0
XAO,20010130,3265,3289.199951,3264.899902,3284.100098,0
XAO,20010131,3284.100098,3296.399902,3284.100098,3291.5,0
XAO,20010201,3291.5,3312.100098,3282.100098,3312.100098,0
XAO,20010202,3312.100098,3312.100098,3298.600098,3304.699951,0
XAO,20010205,3304.699951,3304.699951,3261.699951,3265.300049,0
XAO,20010206,3265.300049,3285.300049,3265.300049,3276.300049,0
XAO,20010207,3276.300049,3277.199951,3261.199951,3262.800049,0
XAO,20010208,3262.800049,3280,3262.800049,3277.800049,0
XAO,20010209,3277.800049,3277.899902,3251.199951,3261.300049,0
XAO,20010212,3261.300049,3282.5,3250.199951,3277.100098,0
XAO,20010213,3277.100098,3298.899902,3277.100098,3286.699951,0
XAO,20010214,3286.699951,3297.5,3284,3294.800049,0
XAO,20010215,3294.800049,3295.399902,3264,3272.199951,0
XAO,20010216,3272.199951,3283,3264.899902,3267.100098,0
XAO,20010219,3267.100098,3267.100098,3230.5,3240,0
XAO,20010220,3240,3259.100098,3237.899902,3250.800049,0
XAO,20010221,3250.800049,3261.300049,3238.100098,3261.100098,0
XAO,20010222,3261.100098,3261.100098,3227.699951,3240.300049,0
XAO,20010223,3240.300049,3246.699951,3232.899902,3241.399902,0
XAO,20010226,3241.399902,3255.399902,3235.899902,3249.300049,0
XAO,20010227,3249.300049,3264.199951,3248.300049,3250.699951,0
XAO,20010228,3250.699951,3278.399902,3233.800049,3274.100098,0
XAO,20010301,3274.100098,3294.899902,3257.5,3294.899902,0
XAO,20010302,3294.899902,3295.600098,3268.800049,3280.199951,0
XAO,20010305,3280.199951,3293.899902,3274.800049,3288.399902,0
XAO,20010306,3288.399902,3288.5,3275,3280.300049,0
XAO,20010307,3280.300049,3306.199951,3274.800049,3306.199951,0
XAO,20010308,3306.199951,3313.699951,3288.399902,3289.399902,0
XAO,20010309,3289.399902,3289.399902,3268.800049,3276.899902,0
XAO,20010312,3276.899902,3276.899902,3244.399902,3265.800049,0
XAO,20010313,3265.800049,3265.800049,3199.399902,3211.399902,0
XAO,20010314,3211.399902,3219.199951,3209.699951,3211,0
XAO,20010315,3211,3211,3152.699951,3188.399902,0
XAO,20010316,3188.399902,3202.5,3188.199951,3197.100098,0
XAO,20010319,3197.100098,3197.100098,3157.800049,3161.5,0
XAO,20010320,3161.5,3178.800049,3156.899902,3175.100098,0
XAO,20010321,3174.5,3175.100098,3142.800049,3170.399902,0
XAO,20010322,3170.399902,3170.399902,3124,3135.800049,0
XAO,20010323,3135.800049,3135.800049,3088.600098,3094.300049,0
XAO,20010326,3094.300049,3118.5,3094,3112.399902,0
XAO,20010327,3112.399902,3131.199951,3110.5,3118.100098,0
XAO,20010328,3118.100098,3140.899902,3117.100098,3127.399902,0
XAO,20010329,3127.399902,3133.699951,3101.899902,3125.300049,0
XAO,20010330,3125.300049,3125.300049,3096.899902,3096.899902,0
XAO,20010402,3096.899902,3148.199951,3096.899902,3141.100098,0
XAO,20010403,3141.100098,3147.699951,3131,3138.899902,0
XAO,20010404,3138.899902,3138.899902,3115.100098,3138.899902,0
XAO,20010405,3138.899902,3170.399902,3137.600098,3164.100098,0
XAO,20010406,3164.100098,3206.199951,3164.100098,3175.5,0
XAO,20010409,3175.5,3175.5,3154.800049,3158.5,0
XAO,20010410,3158.5,3174.699951,3158.5,3169.600098,0
XAO,20010411,3169.600098,3208.899902,3169.5,3198.5,0
XAO,20010412,3198.5,3221.100098,3192.300049,3216.100098,0
XAO,20010413,null,null,null,null,null
XAO,20010416,null,null,null,null,null
XAO,20010417,3216.100098,3217.5,3198.100098,3199.800049,0
XAO,20010418,3199.800049,3222.899902,3199.800049,3219.5,0
XAO,20010419,3219.5,3272.399902,3219.5,3263.600098,0
XAO,20010420,3263.600098,3266.100098,3242.800049,3243.699951,0
XAO,20010423,3243.699951,3247.800049,3231,3241.5,0
XAO,20010424,3241.5,3245.800049,3228.399902,3241.5,0
XAO,20010425,null,null,null,null,null
XAO,20010426,3241.5,3254.199951,3238.600098,3253.899902,0
XAO,20010427,3253.899902,3254.899902,3237.300049,3237.300049,0
XAO,20010430,3237.300049,3270.300049,3237,3270.300049,0
XAO,20010501,3270.300049,3274.199951,3265.600098,3268.600098,0
XAO,20010502,3268.600098,3295.699951,3268.600098,3271.5,0
XAO,20010503,3271.5,3291.800049,3263.600098,3288.800049,0
XAO,20010504,3288.800049,3288.800049,3267.699951,3279.899902,0
XAO,20010507,3279.899902,3298.199951,3279.899902,3293.899902,0
XAO,20010508,3293.899902,3296.699951,3279.199951,3279.899902,0
XAO,20010509,3279.899902,3289.100098,3270,3286.899902,0
XAO,20010510,3286.899902,3325.300049,3286.399902,3325.100098,0
XAO,20010511,3325.100098,3330.100098,3313.300049,3326.300049,0
XAO,20010514,3326.300049,3327.600098,3297,3319.199951,0
XAO,20010515,3319.199951,3326.600098,3306,3326.600098,0
XAO,20010516,3326.600098,3328.600098,3309.5,3316.800049,0
XAO,20010517,3316.800049,3358.100098,3316.800049,3344.800049,0
XAO,20010518,3344.800049,3357,3334.199951,3339.899902,0
XAO,20010521,3339.899902,3374.100098,3339.899902,3369.199951,0
XAO,20010522,3369.199951,3377,3365.600098,3370.699951,0
XAO,20010523,3370.699951,3378.699951,3354.800049,3362,0
XAO,20010524,3362,3362,3342.800049,3350.5,0
XAO,20010525,3350.5,3365.600098,3348,3361.699951,0
XAO,20010528,3361.699951,3365,3347.100098,3356.800049,0
XAO,20010529,3356.800049,3360.300049,3341.600098,3348.399902,0
XAO,20010530,3348.399902,3348.399902,3335.100098,3339.899902,0
XAO,20010531,3337.899902,3339.899902,3313.399902,3317.199951,0
XAO,20010601,3317.199951,3336.199951,3316.399902,3327.300049,0
XAO,20010604,3327.300049,3360,3326,3359.300049,0
XAO,20010605,3359.300049,3367.899902,3343.899902,3354.5,0
XAO,20010606,3354.5,3372.899902,3352.199951,3355.199951,0
XAO,20010607,3355.199951,3367.199951,3336,3367.199951,0
XAO,20010608,3367.199951,3368.5,3352.899902,3365.399902,0
XAO,20010611,null,null,null,null,null
XAO,20010612,3365.399902,3365.399902,3326.399902,3335.100098,0
XAO,20010613,3335.100098,3335.100098,3314.699951,3324.5,0
XAO,20010614,3324.5,3346.199951,3315.300049,3346.199951,0
XAO,20010615,3346.199951,3351.199951,3323.800049,3351.199951,0
XAO,20010618,3351.199951,3351.199951,3322.5,3322.5,0
XAO,20010619,3322.5,3339.600098,3322.300049,3322.699951,0
XAO,20010620,3322.699951,3354.5,3322.699951,3348.399902,0
XAO,20010621,3348.399902,3360.899902,3342.100098,3347.199951,0
XAO,20010622,3347.199951,3370,3344.300049,3364.699951,0
XAO,20010625,3364.699951,3364.699951,3346.399902,3355.600098,0
XAO,20010626,3355.600098,3370,3346.699951,3370,0
XAO,20010627,3370,3370,3346.600098,3347.5,0
XAO,20010628,3347.5,3364.5,3347.5,3358.199951,0
XAO,20010629,3358.199951,3425.199951,3358.100098,3425.199951,0
XAO,20010702,3425.199951,3425.199951,3369.399902,3377.699951,0
XAO,20010703,3377.699951,3396.600098,3377.699951,3390.100098,0
XAO,20010704,3390.100098,3392.800049,3362.899902,3372.199951,0
XAO,20010705,3372.199951,3372.199951,3321.100098,3325.300049,0
XAO,20010706,3325.300049,3325.300049,3294.600098,3302.199951,0
XAO,20010709,3302.199951,3302.199951,3268,3289.800049,0
XAO,20010710,3289.800049,3306,3280.600098,3304.199951,0
XAO,20010711,3304.199951,3329.399902,3297,3323.899902,0
XAO,20010712,3323.899902,3339.600098,3315.5,3337.800049,0
XAO,20010713,3337.800049,3354.800049,3337.800049,3342.100098,0
XAO,20010716,3342.100098,3367,3342.100098,3365.300049,0
XAO,20010717,3365.300049,3365.300049,3346.800049,3347.5,0
XAO,20010718,3347.5,3362.699951,3339.600098,3339.600098,0
XAO,20010719,3339.600098,3344.899902,3333.899902,3339,0
XAO,20010720,3339,3339.399902,3324.699951,3328.100098,0
XAO,20010723,3324.899902,3332.699951,3314.300049,3317.300049,0
XAO,20010724,3317.300049,3317.300049,3293.899902,3298,0
XAO,20010725,3298,3298,3260.899902,3265.100098,0
XAO,20010726,3265.100098,3265.899902,3231.899902,3231.899902,0
XAO,20010727,3231.899902,3253.399902,3231.899902,3240.5,0
XAO,20010730,3240.5,3268.100098,3240.5,3263.199951,0
XAO,20010731,3263.199951,3275.300049,3258.300049,3270.800049,0
XAO,20010801,3270.800049,3317,3270.800049,3317,0
XAO,20010802,3317,3359.5,3317,3346.100098,0
XAO,20010803,3346.100098,3353.100098,3330,3348.399902,0
XAO,20010806,3348.199951,3352,3326.899902,3347.899902,0
XAO,20010807,3347.899902,3348.100098,3330.100098,3348.100098,0
XAO,20010808,3348.100098,3360.199951,3334.600098,3344.100098,0
XAO,20010809,3344.100098,3365.399902,3323.699951,3358.199951,0
XAO,20010810,3358.199951,3358.199951,3343.899902,3343.899902,0
XAO,20010813,3343.899902,3347.899902,3326.800049,3327.199951,0
XAO,20010814,3327.199951,3330.800049,3315.5,3315.5,0
XAO,20010815,3315.5,3330.199951,3305.699951,3307.800049,0
XAO,20010816,3307.800049,3307.800049,3273,3273.5,0
XAO,20010817,3273.5,3284.800049,3271.300049,3275.399902,0
XAO,20010820,3275.399902,3275.399902,3228.399902,3237,0
XAO,20010821,3237,3263.5,3236.5,3263.5,0
XAO,20010822,3263.5,3263.5,3233.899902,3255.100098,0
XAO,20010823,3255.100098,3267.399902,3254,3264.199951,0
XAO,20010824,3264.199951,3291.100098,3264.199951,3288.199951,0
XAO,20010827,3288.199951,3319.300049,3287,3308.100098,0
XAO,20010828,3308.100098,3316.199951,3297,3310.100098,0
XAO,20010829,3310.100098,3310.100098,3288.399902,3288.399902,0
XAO,20010830,3288.399902,3288.399902,3257.300049,3264.899902,0
XAO,20010831,3264.899902,3264.899902,3217.800049,3217.800049,0
XAO,20010903,3217.800049,3218.399902,3199.5,3215.899902,0
XAO,20010904,3215.899902,3228.199951,3207.699951,3228.199951,0
XAO,20010905,3228.199951,3237,3208.5,3231.100098,0
XAO,20010906,3231.100098,3231.100098,3201.5,3208.399902,0
XAO,20010907,3208.399902,3208.399902,3166.199951,3178.699951,0
XAO,20010910,3178.699951,3185.300049,3145.699951,3183.5,0
XAO,20010911,3183.5,3196.399902,3181.899902,3183.199951,0
XAO,20010912,3183.199951,3183.199951,3035.399902,3051.300049,0
XAO,20010913,3051.300049,3109.100098,3051.300049,3069.399902,0
XAO,20010914,3069.399902,3072.699951,3015.800049,3040.800049,0
XAO,20010917,3040.800049,3040.800049,2883.5,2895.399902,0
XAO,20010918,2895.399902,2980.300049,2895.399902,2948.5,0
XAO,20010919,2948.5,2974.100098,2927.199951,2974.100098,0
XAO,20010920,2974.100098,2974.100098,2905.100098,2924.899902,0
XAO,20010921,2924.899902,2924.899902,2842,2884.5,0
XAO,20010924,2867.399902,2917.300049,2867.399902,2867.399902,0
XAO,20010925,2867.399902,2917.699951,2867.399902,2904.5,0
XAO,20010926,2904.5,2937.100098,2903.100098,2932.100098,0
XAO,20010927,2932.100098,2947.699951,2916.699951,2941.600098,0
XAO,20010928,2941.600098,2999.5,2941.600098,2988,0
XAO,20011001,2988,3034.800049,2988,3034.800049,0
XAO,20011002,3034.800049,3074.199951,3015.300049,3074.199951,0
XAO,20011003,3074.199951,3094.199951,3053.100098,3061.5,0
XAO,20011004,3061.5,3085.199951,3055.100098,3067.5,0
XAO,20011005,3067.5,3114.600098,3066.399902,3114.199951,0
XAO,20011008,3114.199951,3114.199951,3065.800049,3075.800049,0
XAO,20011009,3075.800049,3088.899902,3070.5,3087.699951,0
XAO,20011010,3087.699951,3088.300049,3066,3073.699951,0
