Code,Date,Open,High,Low,Close,Volume
XAO,20190701,6699.200195,6745.700195,6699.200195,6731.399902,751663000
XAO,20190702,6731.399902,6772.399902,6731.399902,6741.100098,791185700
XAO,20190703,6741.100098,6777.399902,6732.299805,6770.100098,835435700
XAO,20190704,6770.100098,6814.799805,6770.100098,6800.899902,731524500
XAO,20190705,6800.899902,6850.100098,6797.899902,6831.799805,755520700
XAO,20190708,6821.899902,6831.799805,6757.399902,6757.399902,646549000
XAO,20190709,6757.399902,6764.200195,6727.5,6750.100098,727630900
XAO,20190710,6750.100098,6803,6750.100098,6777.700195,823585300
XAO,20190711,6777.700195,6818.399902,6776.799805,6805.799805,845749300
XAO,20190712,6805.799805,6806.700195,6779.899902,6788.799805,846926000
XAO,20190715,6787.299805,6787.299805,6734,6746.200195,616583300
XAO,20190716,6746.200195,6759.600098,6735.799805,6735.799805,735465300
XAO,20190717,6735.799805,6766.399902,6721.200195,6764,706769400
XAO,20190718,6764,6764,6718.5,6735.399902,723177800
XAO,20190719,6735.399902,6789.799805,6734.700195,6786.200195,693385700
XAO,20190722,6786.200195,6798.600098,6763.799805,6781.200195,747212200
XAO,20190723,6781.200195,6818.100098,6778.5,6812.5,861786500
XAO,20190724,6812.5,6869.700195,6812.5,6862.399902,884441300
XAO,20190725,6862.399902,6901.899902,6857.5,6901.899902,991586400
XAO,20190726,6901.899902,6901.899902,6863.899902,6879.299805,978786300
XAO,20190729,6879.299805,6919.700195,6879.299805,6911.399902,722248700
XAO,20190730,6911.399902,6958.700195,6911.399902,6928.299805,841078800
XAO,20190731,6928.299805,6928.299805,6896.700195,6896.700195,1014396600
