ABS,20060810,6.47,6.55,6.26,6.3,2925576
AGL,20060810,19.1,19.44,19.08,19.41,379597
ALL,20060810,11.8,12.18,11.74,12.15,3330343
ALU,20060810,0.41,0.41,0.41,0.41,2500
AMP,20060810,8.75,8.88,8.74,8.86,2275955
ANZ,20060810,25.83,26.47,25.83,26.4,6860315
ASX,20060810,31.1,31.24,30.82,31,678781
AUN,20060810,1.275,1.29,1.27,1.27,980075
BHP,20060810,27.02,27.24,26.92,27.07,12301924
BRZ,20060810,1.3,1.3,1.215,1.215,22976
BSL,20060810,7.03,7.15,7.02,7.03,2663103
BTA,20060810,1.26,1.27,1.255,1.255,88048
CBA,20060810,45.88,45.89,45.51,45.79,7596397
CGF,20060810,3.02,3.08,3.02,3.06,885157
CIR,20060810,1.25,1.26,1.25,1.26,13836
CML,20060810,10.8,10.9,10.74,10.82,6388183
CPU,20060810,7.41,7.55,7.4,7.5,1128028
DJS,20060810,3.06,3.13,3.02,3.13,1484985
ERG,20060810,0.092,0.115,0.092,0.11,9150727
ETR,20060810,2.32,2.33,2.3,2.33,73108
FGL,20060810,5.35,5.35,5.27,5.3,9347353
FXJ,20060810,3.94,3.97,3.9,3.95,1282334
GFF,20060810,1.955,1.97,1.95,1.955,3895005
HGI,20060810,1.925,1.96,1.92,1.96,453057
HTA,20060810,0.245,0.25,0.24,0.245,176466
HVN,20060810,3.25,3.28,3.18,3.28,1339582
IAG,20060810,5.18,5.24,5.17,5.23,1957895
IIN,20060810,0.695,0.7,0.68,0.68,312983
IWL,20060810,4.49,4.5,4.49,4.49,10364
JBH,20060810,4.73,4.8,4.73,4.8,208110
KYC,20060810,0.96,0.96,0.915,0.915,106600
MBL,20060810,60.16,60.48,59.67,59.78,1680333
MYO,20060810,0.9,0.91,0.9,0.91,224313
MYP,20060810,2.92,2.92,2.89,2.9,693146
NAB,20060810,35.98,36.5,35.75,36.38,4545233
NWS,20060810,26.05,26.05,25.72,25.73,1410225
NWSLV,20060810,24.85,24.9,24.65,24.67,1160782
OST,20060810,3.81,3.92,3.79,3.88,980304
PBG,20060810,2.26,2.3,2.26,2.28,1573746
PBL,20060810,16.8,16.89,16.7,16.8,1689983
PMN,20060810,5.4,5.52,5.4,5.49,1658216
PWR,20060810,0.53,0.53,0.5,0.505,56457
PWT,20060810,1.06,1.06,1.05,1.05,7950
QAN,20060810,3.03,3.07,3.03,3.05,4246746
RMD,20060810,5.87,5.88,5.82,5.83,639204
SEK,20060810,4.44,4.52,4.41,4.5,1326342
SEV,20060810,8.7,8.88,8.65,8.86,242934
SGB,20060810,28.97,29.23,28.92,29.17,1374717
SGT,20060810,2.06,2.06,2.02,2.03,3511880
SHL,20060810,12.02,12.09,11.98,12.06,1425246
TAH,20060810,15.08,15.21,15.08,15.2,500726
TEL,20060810,3.36,3.37,3.32,3.35,5075453
TEN,20060810,2.68,2.7,2.67,2.7,498063
TLS,20060810,3.79,3.83,3.76,3.8,45388497
TNE,20060810,0.68,0.685,0.68,0.68,20600
TTS,20060810,2.79,2.83,2.78,2.83,1607019
TWR,20060810,2.75,2.75,2.72,2.75,466994
UTB,20060810,14.27,14.4,14.26,14.4,407705
VBA,20060810,1.57,1.57,1.56,1.565,22256
VHL,20060810,0.082,0.084,0.082,0.084,80000
WBC,20060810,22.41,22.67,22.41,22.67,5120484
WDC,20060810,17.9,17.94,17.77,17.91,3765978
WOW,20060810,19,19.08,18.85,18.98,1240324
WTF,20060810,3.65,3.75,3.65,3.68,44091
