ACK,20090311,0.2,0.2,0.2,0.2,0
AGF,20090311,0.785,0.8,0.785,0.8,165363
ALL,20090311,3.5,3.65,3.46,3.58,1590812
AMP,20090311,3.87,3.97,3.86,3.95,27975696
ANZ,20090311,13,13.25,12.94,13.15,7412182
ASX,20090311,28.2,28.83,28.1,28.5,1790008
AUN,20090311,0.75,0.76,0.725,0.73,1632444
BFG,20090311,0.375,0.42,0.375,0.42,25463
BHP,20090311,30.75,30.93,30.35,30.5,20233697
BJT,20090311,0.185,0.19,0.175,0.18,4281308
BSL,20090311,2.46,2.46,2.32,2.4,8204683
BTT,20090311,1.09,1.15,1.09,1.12,23673
CBA,20090311,28.8,28.91,28.25,28.61,5537496
CGF,20090311,0.91,0.98,0.905,0.965,1839414
CIR,20090311,0.65,0.65,0.65,0.65,7000
CMJ,20090311,1.92,1.985,1.86,1.95,1579900
COH,20090311,51.7,51.88,49.66,50,688827
CPU,20090311,7.6,7.71,7.41,7.5,1828427
CSL,20090311,35.8,35.8,34.37,34.4,2593767
CSR,20090311,1.005,1.05,1.005,1.03,6711152
CWN,20090311,5.24,5.4,5.12,5.21,1510970
DJS,20090311,2.2,2.29,2.16,2.28,2146228
FGL,20090311,5.24,5.27,5.21,5.25,8977741
FXJ,20090311,0.83,0.85,0.81,0.845,35014121
FXL,20090311,0.41,0.41,0.39,0.4,246355
GFF,20090311,0.99,1.03,0.985,1.02,11132190
HTA,20090311,0.085,0.085,0.085,0.085,0
HVN,20090311,2.06,2.2,2.06,2.18,3625989
IAG,20090311,3.26,3.36,3.18,3.22,6946495
IIN,20090311,1.315,1.315,1.25,1.255,16576
IVC,20090311,4.8,4.87,4.77,4.8,129980
JBH,20090311,10.2,10.48,10.06,10.3,861190
LGL,20090311,2.9,2.93,2.82,2.86,39796156
MLB,20090311,1.8,1.85,1.8,1.845,48707
MQG,20090311,18.2,18.5,18.12,18.26,1977449
MYFG,20090311,60.501,60.8,60,60.1,2945
NAB,20090311,16.56,16.6,16.01,16.3,11161298
NHF,20090311,0.74,0.75,0.74,0.745,100127
NWS,20090311,9.37,9.59,9.3,9.56,2311914
NWSLV,20090311,8.29,8.55,8.29,8.45,521566
OST,20090311,1.77,1.835,1.735,1.79,5095577
OZL,20090311,0.63,0.64,0.61,0.61,25087257
PBG,20090311,0.18,0.19,0.17,0.175,2551257
PLB,20090311,0.45,0.45,0.45,0.45,5000
PTM,20090311,2.95,3,2.95,2.98,304612
QAN,20090311,1.46,1.545,1.455,1.545,13591043
RMD,20090311,5.45,5.46,5.33,5.43,2675530
SEK,20090311,2.17,2.35,2.17,2.32,797608
SEV,20090311,6.09,6.43,6.09,6.39,249526
SGH,20090311,1.55,1.55,1.55,1.55,0
SGT,20090311,2.5,2.53,2.46,2.47,2961841
SMX,20090311,1.96,1.965,1.93,1.955,134002
TAH,20090311,6.36,6.43,6.32,6.39,1435689
TEL,20090311,1.865,1.87,1.835,1.855,5723498
TEN,20090311,0.665,0.695,0.665,0.67,562092
TLS,20090311,3.16,3.19,3.08,3.08,66241456
TNE,20090311,0.625,0.625,0.6,0.6,172638
TTS,20090311,2.62,2.67,2.56,2.61,4300005
TWR,20090311,1.065,1.065,1.03,1.03,2770
VBA,20090311,0.185,0.19,0.175,0.175,10102176
WBC,20090311,16.72,16.98,16.51,16.87,8542368
WDC,20090311,9.7,9.74,8.96,9.3,15363008
WES,20090311,17.24,17.4,17.13,17.34,4245898
WIG,20090311,0.75,0.75,0.75,0.75,0
WOW,20090311,25.41,25.62,24.95,25.5,3106951
WPL,20090311,37.4,37.5,36.74,36.99,2213886
WTF,20090311,3.18,3.22,3.13,3.2,462608
