ABS,20041019,4.79,4.94,4.78,4.9,2343536
AGL,20041019,13.54,13.54,13.39,13.42,328845
ALL,20041019,7.36,7.43,7.18,7.21,3325561
ALU,20041019,0.335,0.34,0.335,0.34,52404
AMP,20041019,6.33,6.35,6.28,6.3,6788206
ANZ,20041019,19.54,19.65,19.53,19.58,2131008
ASX,20041019,17.1,17.55,17.05,17.49,370530
AUN,20041019,0.88,0.89,0.88,0.89,339508
AXN,20041019,0.37,0.37,0.37,0.37,0
BGN,20041019,0.26,0.26,0.26,0.26,0
BHP,20041019,14,14.02,13.86,13.91,10085575
BIR,20041019,1.35,1.35,1.35,1.35,0
BRZ,20041019,1.89,1.9,1.86,1.9,87984
BSL,20041019,8.65,8.69,8.36,8.46,4069700
BTA,20041019,0.64,0.65,0.63,0.64,376447
CBA,20041019,30.86,31.27,30.79,31.25,3175800
CGF,20041019,0.55,0.56,0.55,0.56,3476790
CIR,20041019,2.15,2.3,2.12,2.3,289840
CML,20041019,9.19,9.2,9.1,9.2,2559885
CPU,20041019,4.3,4.3,4.14,4.23,2126664
DJS,20041019,1.96,1.97,1.95,1.96,908995
ERG,20041019,0.29,0.295,0.285,0.295,886916
ETR,20041019,1.48,1.5,1.47,1.47,200082
FAN,20041019,4.9,4.97,4.9,4.93,22234
FGL,20041019,5,5.04,5,5.04,2439855
FOA,20041019,18.4,18.44,18.31,18.44,234859
FXJ,20041019,3.97,4.07,3.97,4.03,7403784
HLY,20041019,8,8.03,7.96,8,641925
HTA,20041019,0.335,0.34,0.33,0.335,1354815
HVN,20041019,3.03,3.06,3.02,3.04,975713
IAG,20041019,5.25,5.28,5.24,5.27,3301121
IWL,20041019,0.32,0.32,0.32,0.32,166300
JBH,20041019,3.34,3.35,3.3,3.33,79176
KAZ,20041019,0.395,0.395,0.395,0.395,0
KYC,20041019,2.06,2.13,2.06,2.13,76563
MAY,20041019,4.07,4.11,4.07,4.09,3112983
MBL,20041019,39.2,39.75,39.2,39.75,956731
MYO,20041019,1.41,1.42,1.4,1.42,2626581
NAB,20041019,27.55,27.89,27.54,27.87,6655132
NCP,20041019,11.21,11.24,11.13,11.17,11357851
NCPDP,20041019,10.95,10.97,10.87,10.94,8787662
OST,20041019,2.98,2.99,2.95,2.98,1462842
PBG,20041019,3.08,3.09,3.08,3.09,563557
PBL,20041019,14.43,14.52,14.4,14.5,616404
PMN,20041019,4.6,4.6,4.52,4.56,4882504
PWR,20041019,0.03,0.03,0.029,0.03,285200
PWT,20041019,1.24,1.26,1.24,1.26,38613
QAN,20041019,3.36,3.36,3.29,3.31,16612368
RMD,20041019,6.15,6.27,6.15,6.27,944104
SEV,20041019,5.73,5.73,5.65,5.68,654235
SFE,20041019,7.94,8,7.9,7.95,345068
SGB,20041019,22.74,22.74,22.65,22.66,975476
SGT,20041019,1.89,1.92,1.89,1.92,1953808
SHL,20041019,10.06,10.12,10,10.01,1337459
TAH,20041019,14.74,14.87,14.73,14.86,690432
TEL,20041019,5.46,5.47,5.41,5.43,3426858
TEN,20041019,3.85,3.88,3.84,3.84,1820804
TLS,20041019,4.7,4.71,4.66,4.66,32390877
TNE,20041019,0.6,0.6,0.59,0.59,193479
TWR,20041019,2.08,2.11,2.08,2.11,629657
UTB,20041019,10.65,10.86,10.65,10.76,390956
VBA,20041019,1.7,1.71,1.69,1.69,1064469
VHL,20041019,0.42,0.43,0.42,0.43,21125
VTI,20041019,0.5,0.5,0.49,0.5,89600
WBC,20041019,17.86,17.97,17.85,17.9,2595056
WDC,20041019,15.12,15.15,15.02,15.04,5840090
WOW,20041019,13.9,13.94,13.68,13.72,2130063
