AGL,20020531,9.78,9.85,9.74,9.85,1312703
ALL,20020531,6.07,6.07,5.9,5.95,894642
ALU,20020531,1.23,1.25,1.23,1.25,29962
AMP,20020531,17,17.07,16.79,16.9,3698004
ANZ,20020531,19.38,19.5,19.1,19.5,13916717
ASX,20020531,13.8,13.94,13.7,13.88,1223171
AUN,20020531,0.21,0.21,0.205,0.205,243764
AXN,20020531,0.36,0.36,0.345,0.355,640541
BGN,20020531,0.96,0.97,0.95,0.97,31725
BHP,20020531,10.9,10.94,10.79,10.8,18633618
BIR,20020531,0.99,1,0.96,0.98,2590688
BRZ,20020531,2.26,2.26,2.22,2.22,370302
BTA,20020531,0.455,0.465,0.45,0.465,134098
CBA,20020531,33.6,33.7,33.26,33.5,9316899
CIR,20020531,1.72,1.75,1.71,1.72,20642
CML,20020531,6.7,6.73,6.55,6.64,7445084
CPU,20020531,1.96,2.02,1.93,1.97,6718083
DJS,20020531,1.12,1.14,1.12,1.14,1354568
ECP,20020531,0.39,0.395,0.385,0.39,250465
ERG,20020531,0.385,0.395,0.35,0.355,29211635
ETR,20020531,0.59,0.59,0.56,0.56,73000
FAN,20020531,1.58,1.58,1.58,1.58,0
FFL,20020531,1.92,1.95,1.92,1.95,28000
FGL,20020531,4.68,4.69,4.66,4.68,11746193
FOA,20020531,18.96,19,18.6,18.8,410474
FXJ,20020531,3.55,3.59,3.51,3.57,10226747
HLY,20020531,5.1,5.12,5.06,5.08,90443
HTA,20020531,0.41,0.41,0.39,0.4,923346
HVN,20020531,3.05,3.07,3,3.05,1682101
IAG,20020531,3.29,3.35,3.28,3.3,6233494
KAZ,20020531,0.32,0.33,0.285,0.33,8635143
KYC,20020531,1.11,1.14,1.09,1.09,63620
MAY,20020531,4.36,4.41,4.16,4.27,16938036
MBL,20020531,32.2,32.5,32,32.35,3188643
MIM,20020531,1.18,1.21,1.17,1.21,25408475
MYO,20020531,0.8,0.8,0.79,0.79,53229
NAB,20020531,36.19,36.45,35.92,36.18,9735935
NCP,20020531,12.98,13,12.6,12.6,34345941
OST,20020531,1.23,1.28,1.22,1.28,1531884
OTT,20020531,0.051,0.051,0.051,0.051,0
PBL,20020531,9.17,9.3,9.16,9.3,1251279
PWR,20020531,0.15,0.15,0.14,0.14,1242194
PWT,20020531,0.082,0.083,0.077,0.08,1281296
QAN,20020531,4.58,4.6,4.55,4.57,19354745
RMD,20020531,4.84,4.84,4.57,4.8,2026334
SEV,20020531,5.95,5.97,5.93,5.94,566503
SFD,20020531,0.355,0.36,0.35,0.36,130796
SFE,20020531,3.4,3.4,3.35,3.35,66404
SGB,20020531,19.55,19.7,19.43,19.65,347349
SGT,20020531,1.5,1.51,1.49,1.51,2540970
SHL,20020531,5.25,5.3,5.16,5.3,1129678
TAB,20020531,3.11,3.11,3.04,3.1,4969816
TAH,20020531,12.4,12.4,12.14,12.14,2723743
TEL,20020531,4.29,4.34,4.26,4.33,1217097
TEN,20020531,2.31,2.31,2.25,2.26,844815
TLO,20020531,0.014,0.018,0.014,0.015,3703397
TLS,20020531,4.73,4.77,4.71,4.73,62698724
TNE,20020531,0.58,0.6,0.57,0.57,171417
TQL,20020531,3.65,3.75,3.62,3.7,132049
TWR,20020531,4.03,4.07,4.02,4.02,2796706
UEL,20020531,2.17,2.19,2.16,2.18,361593
VHL,20020531,0.45,0.45,0.45,0.45,10920
VTI,20020531,0.305,0.32,0.305,0.32,62700
WBC,20020531,16.5,16.61,16.46,16.55,11450848
WOW,20020531,12.91,13.05,12.72,13,3991624
WSF,20020531,15.65,15.93,15.61,15.93,2476737
