ABS,20071112,5.84,5.87,5.45,5.51,3252048
AGF,20071112,1.715,1.725,1.52,1.55,1467488
ALL,20071112,9.7,9.9,9.36,9.55,2873917
ALU,20071112,0.9,0.9,0.9,0.9,133
AMP,20071112,10,10.09,9.83,9.83,8639510
ANZ,20071112,27.72,27.79,27.21,27.4,11258398
ASX,20071112,56.89,57,55,55,584525
AUN,20071112,1.56,1.56,1.47,1.475,1214455
BHP,20071112,41.99,42.6,41.52,41.7,29718378
BJT,20071112,1.54,1.54,1.51,1.52,1890777
BNB,20071112,27.35,27.79,27,27,1451159
BSL,20071112,9.5,9.59,9.22,9.25,5435612
BTA,20071112,1.315,1.33,1.31,1.315,214321
CBA,20071112,59.05,59.77,58.92,59.33,3468904
CGF,20071112,5.86,5.94,5.79,5.87,1100583
CIR,20071112,1.245,1.245,1.24,1.24,5750
COH,20071112,70,70.93,69.98,70.45,102344
CPU,20071112,10,10.09,9.59,9.8,5941391
CSR,20071112,3.11,3.16,3.1,3.15,3829342
DJS,20071112,4.89,4.91,4.77,4.77,1754318
EGF,20071112,2.15,2.18,2.13,2.18,545165
ENG,20071112,0.14,0.14,0.135,0.135,306250
ERG,20071112,0.1,0.1,0.08,0.096,27948198
FGL,20071112,6.2,6.23,6.19,6.2,4230393
FXJ,20071112,4.78,4.86,4.73,4.76,5683301
GFF,20071112,1.99,1.99,1.945,1.96,11353271
HGI,20071112,3.6,3.63,3.56,3.59,1567817
HTA,20071112,0.19,0.195,0.185,0.185,143545
HVN,20071112,6.79,6.8,6.5,6.74,3963391
IAG,20071112,4.46,4.52,4.45,4.45,5933429
IIN,20071112,1.705,1.73,1.705,1.705,131331
IVC,20071112,6.5,6.53,6.24,6.3,266082
IWL,20071112,6.43,6.44,6.43,6.43,169132
JBH,20071112,15.6,15.6,14.92,15,605780
KYC,20071112,0.375,0.385,0.37,0.37,57170
LGL,20071112,4.24,4.25,4.02,4.02,17295005
MLB,20071112,3.46,3.54,3.45,3.5,19003
MYFG,20071112,105.65,105.8,104.8,104.8,1477
MYO,20071112,1.36,1.38,1.36,1.37,225335
NAB,20071112,43.45,43.94,43.1,43.2,7669192
NHF,20071112,1.23,1.24,1.2,1.2,1079077
NWS,20071112,24.24,24.48,24.12,24.46,4172539
NWSLV,20071112,23.3,23.36,23.2,23.3,527314
OST,20071112,6.43,6.54,6.35,6.35,2649183
OXR,20071112,4.18,4.24,4.03,4.06,13461763
PBG,20071112,3.26,3.3,3.18,3.2,1221541
PBL,20071112,19.22,19.54,19.06,19.17,3155259
PLB,20071112,1.52,1.52,1.52,1.52,28475
PTM,20071112,4.86,5,4.85,4.97,692653
PWR,20071112,0,0,0,0.225,0
QAN,20071112,5.8,5.83,5.69,5.69,4088499
RHG,20071112,0.28,0.28,0.27,0.27,4486474
RMD,20071112,4.73,4.9,4.73,4.85,3173941
SEK,20071112,8.04,8.38,8,8.2,1193410
SEV,20071112,13.46,13.5,13.14,13.24,1327867
SGB,20071112,37.01,37.2,36.85,37,1657363
SGH,20071112,1.745,1.745,1.715,1.73,23272
SGT,20071112,2.88,2.96,2.87,2.92,3860847
SHL,20071112,16.55,16.9,16.53,16.62,1191747
TAH,20071112,14.96,15.06,14.83,14.9,1331826
TEL,20071112,3.54,3.57,3.49,3.54,3008932
TEN,20071112,2.66,2.68,2.63,2.65,1707396
TLS,20071112,4.66,4.74,4.61,4.65,44344416
TLSCA,20071112,3.15,3.24,3.1,3.13,27254249
TNE,20071112,1.075,1.095,1.075,1.09,78733
TTS,20071112,4,4.04,3.92,3.93,4202821
TWR,20071112,1.72,1.73,1.61,1.68,288606
UNW,20071112,0.5,0.505,0.5,0.5,543199
VBA,20071112,2.13,2.18,2.13,2.18,162465
VCR,20071112,0.66,0.7,0.65,0.66,639075
VHL,20071112,0.083,0.083,0.08,0.08,50000
WBC,20071112,28.31,28.68,27.75,28,7928607
WDC,20071112,20.14,20.28,19.77,19.77,6189846
WIG,20071112,3.62,3.63,3.6,3.6,24300
WOW,20071112,31.9,32.49,31.8,32.32,3260568
WPL,20071112,54.36,55.1,51.82,52.09,2726646
WTF,20071112,5.65,5.71,5.53,5.63,838359
ZFX,20071112,15.34,15.37,14.8,14.8,4216772
