ABS,20050504,5.52,5.55,5.41,5.45,715091
AGL,20050504,14.3,14.3,14.04,14.19,1798601
ALL,20050504,9.92,10.16,9.91,9.97,1783376
ALU,20050504,0.245,0.245,0.245,0.245,62400
AMP,20050504,6.61,6.61,6.42,6.43,12118086
ANZ,20050504,21.78,21.85,21.5,21.56,4279696
ASX,20050504,20,20,19.5,19.69,353626
AUN,20050504,0.88,0.88,0.84,0.84,195139
BGN,20050504,0.039,0.039,0.039,0.039,38500
BHP,20050504,16.27,16.33,16.12,16.25,15669677
BRZ,20050504,1.75,1.75,1.61,1.655,97613
BSL,20050504,7.53,7.58,7.46,7.48,3827978
BTA,20050504,0.44,0.45,0.425,0.425,336782
CBA,20050504,36.35,36.5,36.16,36.2,1900628
CGF,20050504,3.06,3.08,2.93,2.99,1990579
CIR,20050504,1.33,1.33,1.32,1.32,2693
CML,20050504,8.6,8.6,8.31,8.38,5614924
CPU,20050504,5.15,5.19,4.87,4.97,1655790
DJS,20050504,1.65,1.69,1.65,1.69,1830554
ERG,20050504,0.265,0.265,0.25,0.255,1862826
ETR,20050504,1.395,1.4,1.38,1.4,366300
FAN,20050504,3.89,3.89,3.8,3.83,134718
FGL,20050504,5.17,5.2,5.04,5.11,7187817
FOA,20050504,25.55,25.64,25.5,25.55,2992972
FXJ,20050504,3.88,3.88,3.74,3.79,8410354
HLY,20050504,11.1,11.3,10.85,11.3,50499
HTA,20050504,0.295,0.295,0.285,0.29,431795
HVN,20050504,2.47,2.47,2.31,2.34,3543724
IAG,20050504,6.08,6.1,5.98,5.98,3484948
IIN,20050504,2.57,2.57,2.41,2.45,290485
IWL,20050504,2.6,2.6,2.46,2.46,30711
JBH,20050504,3.25,3.25,2.8,2.87,2273239
KYC,20050504,1.81,1.81,1.79,1.79,75092
MAY,20050504,3.85,4.17,3.85,4.13,13870181
MBL,20050504,45.94,45.94,45.3,45.6,741876
MYO,20050504,1.01,1.03,1.01,1.03,233641
NAB,20050504,29.5,29.5,29.18,29.26,2596047
NWS,20050504,20.57,20.65,20.42,20.52,3300955
NWSLV,20050504,19.83,19.86,19.69,19.82,2364668
OST,20050504,2.28,2.3,2.21,2.21,5996484
PBG,20050504,2.08,2.12,2.05,2.1,3192631
PBL,20050504,14.31,14.43,14.25,14.25,960049
PMN,20050504,5.15,5.16,5.05,5.05,7941544
PWR,20050504,0.175,0.185,0.175,0.185,11456
PWT,20050504,1.2,1.22,1.2,1.21,93033
QAN,20050504,3.16,3.18,3.1,3.13,10028145
RMD,20050504,7.95,8.01,7.86,8.01,349466
SEK,20050504,2.3,2.31,2.26,2.26,2090286
SEV,20050504,6.45,6.54,6.3,6.35,292843
SFE,20050504,9.16,9.23,9.12,9.22,237797
SGB,20050504,25.2,25.2,24.44,24.73,1838447
SGT,20050504,2.04,2.05,2.02,2.02,2487669
SHL,20050504,11.6,11.87,11.31,11.5,805537
TAH,20050504,15,15.05,14.82,14.82,2815533
TEL,20050504,5.74,5.76,5.72,5.75,1754743
TEN,20050504,3.18,3.19,3.14,3.16,1578845
TLS,20050504,4.83,4.87,4.79,4.8,15255145
TNE,20050504,0.53,0.54,0.515,0.515,397586
TWR,20050504,1.715,1.72,1.71,1.72,964745
UTB,20050504,11.98,12.29,11.91,12.2,229111
VBA,20050504,1.645,1.655,1.645,1.655,62925
VHL,20050504,0.34,0.34,0.34,0.34,26761
VTI,20050504,0.6,0.6,0.59,0.59,74600
WBC,20050504,19.39,19.39,19.03,19.03,5383148
WDC,20050504,16.17,16.17,15.81,16,2253094
WOW,20050504,15.44,15.44,15.05,15.16,2510770
