AGL,20031020,10.67,10.73,10.65,10.71,970151
ALL,20031020,1.91,1.93,1.9,1.92,499991
ALU,20031020,0.68,0.68,0.67,0.67,5200
AMP,20031020,6.77,6.81,6.62,6.68,9412800
ANZ,20031020,18.18,18.34,18.14,18.2,2825304
ASX,20031020,14.98,15.15,14.95,15.08,144267
AUN,20031020,0.415,0.415,0.4,0.405,1184780
AXN,20031020,0.265,0.265,0.26,0.26,417722
BGN,20031020,0.365,0.39,0.36,0.39,130600
BHP,20031020,11.98,12.02,11.82,11.82,11809265
BIR,20031020,1.18,1.18,1.17,1.17,734197
BRZ,20031020,1.27,1.29,1.27,1.27,707475
BSL,20031020,5.57,5.73,5.5,5.5,4561554
BTA,20031020,0.55,0.55,0.54,0.55,210502
CBA,20031020,28.06,28.19,27.97,27.97,1847884
CIR,20031020,2.24,2.28,2.24,2.28,22770
CML,20031020,7.77,7.92,7.77,7.9,1792314
CPU,20031020,3.25,3.28,3.24,3.24,1377007
DJS,20031020,1.48,1.48,1.47,1.48,319084
ERG,20031020,1.24,1.27,1.24,1.26,745005
ETR,20031020,0.81,0.84,0.81,0.84,63340
FAN,20031020,3.85,3.89,3.85,3.87,34718
FFL,20031020,2.12,2.14,2.12,2.13,49378
FGL,20031020,4.47,4.5,4.46,4.48,5497182
FOA,20031020,19.21,19.3,19.1,19.1,209177
FXJ,20031020,3.56,3.59,3.55,3.57,2157762
HLY,20031020,6.35,6.44,6.33,6.38,183747
HTA,20031020,0.33,0.335,0.33,0.33,416190
HVN,20031020,3.25,3.25,3.2,3.22,1158391
IAG,20031020,4.3,4.3,4.22,4.22,2685250
IWL,20031020,0.3,0.305,0.3,0.3,626610
KAZ,20031020,0.295,0.3,0.295,0.3,818317
KYC,20031020,1.33,1.33,1.32,1.33,41200
MAY,20031020,3.42,3.47,3.37,3.44,4966971
MBL,20031020,35.76,36,35.7,35.7,589944
MYO,20031020,1.02,1.03,0.97,1,236746
NAB,20031020,31.2,31.47,31.14,31.27,2852014
NCP,20031020,12.45,12.57,12.4,12.47,7933719
OST,20031020,2.38,2.45,2.38,2.4,1198602
PBL,20031020,11.55,11.9,11.54,11.8,1134733
PMN,20031020,3.25,3.26,3.23,3.23,3970314
PWR,20031020,0.047,0.047,0.046,0.046,197000
PWT,20031020,0.048,0.049,0.047,0.047,6615552
QAN,20031020,3.54,3.6,3.54,3.56,5365050
RMD,20031020,6.5,6.52,6.47,6.49,220411
SEV,20031020,6.16,6.28,6.16,6.22,274280
SFE,20031020,4.5,4.5,4.47,4.48,556223
SGB,20031020,21.25,21.48,21.25,21.34,548520
SGT,20031020,1.5,1.5,1.49,1.49,423322
SHL,20031020,6.75,6.85,6.75,6.8,421614
TAB,20031020,3.45,3.45,3.41,3.41,2274047
TAH,20031020,11.78,11.82,11.72,11.76,1077835
TEL,20031020,4.35,4.36,4.29,4.31,2012804
TEN,20031020,2.77,2.77,2.75,2.76,971106
TLS,20031020,4.85,4.91,4.84,4.9,17451151
TNE,20031020,0.455,0.465,0.455,0.46,488240
TWR,20031020,1.14,1.14,1.13,1.13,383929
UTB,20031020,7,7.04,7,7.03,1288433
VHL,20031020,0.3,0.36,0.3,0.335,3914654
VTI,20031020,0.48,0.495,0.48,0.48,938781
WBC,20031020,16.59,16.68,16.53,16.56,2764656
WOW,20031020,11.17,11.24,11.14,11.22,2695695
WSF,20031020,14.15,14.27,14.1,14.22,1101449
