ABS,20070821,6.3,6.43,6.23,6.3,5702802
AGF,20070821,1.305,1.35,1.305,1.32,341533
ALL,20070821,13.14,13.68,13.05,13.45,2678975
ALU,20070821,0.94,0.94,0.82,0.85,115441
AMP,20070821,9.8,9.94,9.63,9.94,7460826
ANZ,20070821,28.49,28.9,28.18,28.9,5009820
ASX,20070821,45.75,47.24,45.53,46.67,913834
AUN,20070821,1.445,1.475,1.425,1.47,2952714
BHP,20070821,34.99,35.5,34.51,35.5,18724152
BJT,20070821,1.71,1.725,1.69,1.71,2964260
BNB,20070821,21.72,21.82,20.55,21.82,3693156
BSL,20070821,10.64,11.18,10.5,10.84,2986421
BTA,20070821,1.68,1.72,1.68,1.7,483403
CBA,20070821,53.1,54.15,52.71,54.15,3029090
CGF,20070821,4.68,4.88,4.36,4.71,2268961
CGJ,20070821,13.85,13.97,13.66,13.8,3479400
CIR,20070821,1.24,1.26,1.23,1.26,23958
CPU,20070821,9.79,9.82,9.65,9.75,2787906
CSR,20070821,3.14,3.23,3.12,3.15,2990475
DJS,20070821,4.59,4.65,4.52,4.53,1629651
EGF,20070821,2.05,2.09,2.05,2.08,325492
ENG,20070821,0.15,0.15,0.14,0.14,216010
ERG,20070821,0.125,0.13,0.12,0.13,786396
FGL,20070821,5.82,5.86,5.78,5.86,6988036
FXJ,20070821,4.65,4.74,4.65,4.73,7335727
GFF,20070821,2.41,2.43,2.37,2.4,6597161
HGI,20070821,3.22,3.37,3.22,3.33,1595296
HTA,20070821,0.14,0.14,0.135,0.14,1307100
HVN,20070821,4.79,4.81,4.66,4.8,1205285
IAG,20070821,5.52,5.63,5.49,5.59,3553539
IIN,20070821,1.645,1.66,1.555,1.63,444091
IVC,20070821,5.83,5.9,5.75,5.75,223428
IWL,20070821,6.3,6.34,6.29,6.34,213225
JBH,20070821,11.05,11.48,11.01,11.3,361021
KYC,20070821,0.255,0.275,0.24,0.275,275000
LGL,20070821,2.91,2.94,2.88,2.91,10758411
MBL,20070821,69.99,72,69.24,71.85,2863084
MLB,20070821,3.15,3.7,3.15,3.45,232235
MYFG,20070821,99.9,99.9,98,98,22228
MYO,20070821,1.115,1.115,1.09,1.095,301107
NAB,20070821,39.45,40.18,39.21,40.1,4119601
NWS,20070821,26.92,27.14,26.77,27.07,923205
NWSLV,20070821,25.99,25.99,25.25,25.42,76872
OST,20070821,6.02,6.15,5.8,5.97,2628852
OXR,20070821,3.28,3.34,3.22,3.34,18727305
PBG,20070821,3.13,3.13,3.02,3.08,5777348
PBL,20070821,16.82,17,16.44,16.88,4133543
PLB,20070821,1.35,1.35,1.35,1.35,178850
PTM,20070821,6.3,6.46,6.29,6.45,663155
PWR,20070821,0.22,0.22,0.2,0.2,10667
QAN,20070821,5.49,5.5,5.44,5.46,15280859
RHG,20070821,1.055,1.085,1.015,1.06,5105339
RMD,20070821,5.06,5.1,5,5.07,3022678
SEK,20070821,7.51,7.54,7.39,7.46,821591
SEV,20070821,11.2,11.34,11.11,11.11,719461
SGB,20070821,34.14,34.62,34,34.59,1207910
SGH,20070821,1.6,1.6,1.6,1.6,49544
SGT,20070821,2.81,2.88,2.8,2.83,2373322
SHL,20070821,14.77,15.04,14.71,14.97,833640
TAH,20070821,15.98,16.2,15.72,16.2,1589247
TEL,20070821,3.45,3.65,3.45,3.62,6275959
TEN,20070821,2.61,2.63,2.55,2.63,1666173
TLS,20070821,4.17,4.35,4.16,4.33,43752630
TLSCA,20070821,2.67,2.85,2.67,2.84,45944758
TNE,20070821,1.05,1.07,1.02,1.07,512269
TTS,20070821,4.76,4.86,4.74,4.86,2605074
TWR,20070821,1.89,1.93,1.88,1.92,410551
UNW,20070821,0.255,0.255,0.25,0.25,10000
VBA,20070821,2.14,2.21,2.11,2.12,783712
VHL,20070821,0.094,0.094,0.094,0.094,10000
WBC,20070821,26.35,26.73,26.1,26.63,5554474
WDC,20070821,19,19.49,18.93,19.49,3755547
WIG,20070821,3.24,3.4,3.24,3.4,32004
WOW,20070821,27,27.63,26.93,27.44,1997237
WPL,20070821,40.9,41.46,40.24,41,1739339
WTF,20070821,4.46,5.12,4.43,4.8,368826
ZFX,20070821,16.5,16.6,15.9,16.47,5160591
