AAN,20070713,15.25,15.29,15.2,15.26,2972517
ABS,20070713,6.69,6.69,6.53,6.57,6729937
AGF,20070713,1.26,1.275,1.26,1.275,473067
ALL,20070713,13.99,14.09,13.88,13.99,1815346
ALU,20070713,1.05,1.05,1.05,1.05,18707
AMP,20070713,10.39,10.41,10.28,10.3,5084653
ANZ,20070713,29.65,29.72,29.36,29.42,4430731
ASX,20070713,50.45,50.55,49.4,49.62,472381
AUN,20070713,1.66,1.66,1.635,1.65,2895597
BHP,20070713,39.7,39.79,39.15,39.16,19043723
BJT,20070713,1.81,1.82,1.785,1.8,2530950
BNB,20070713,31.65,32,31.55,31.6,696228
BSL,20070713,11.32,11.58,11.27,11.43,5201932
BTA,20070713,1.8,1.82,1.785,1.82,353390
CBA,20070713,55.53,55.75,54.99,55.06,3017943
CGF,20070713,5.81,5.97,5.75,5.75,769541
CGJ,20070713,15.19,15.26,15.09,15.24,11525630
CIR,20070713,1.36,1.37,1.35,1.36,20979
CPU,20070713,11,11.05,10.91,11.02,2386002
CSR,20070713,3.56,3.61,3.55,3.57,6056249
DJS,20070713,5.46,5.6,5.46,5.55,979055
EGF,20070713,2.32,2.38,2.31,2.38,244686
ENG,20070713,0.165,0.175,0.165,0.175,430800
ERG,20070713,0.15,0.15,0.145,0.145,1877233
FGL,20070713,6.38,6.42,6.35,6.35,5270800
FXJ,20070713,4.9,4.92,4.87,4.89,7625706
GFF,20070713,2.55,2.58,2.53,2.54,5153014
HGI,20070713,3.85,3.95,3.85,3.92,1800979
HTA,20070713,0.165,0.175,0.16,0.175,1229213
HVN,20070713,5.5,5.53,5.47,5.49,2897422
IAG,20070713,5.77,5.78,5.74,5.76,7017027
IIN,20070713,1.95,2.02,1.95,1.98,1077769
IVC,20070713,6.28,6.34,6.18,6.18,152407
IWL,20070713,5.69,5.91,5.69,5.9,127761
JBH,20070713,12,12.12,11.86,11.86,391915
KYC,20070713,0.35,0.35,0.35,0.35,33270
LGL,20070713,3.16,3.18,3.15,3.16,14771946
MBL,20070713,89.3,89.63,88.61,89.44,1738853
MLB,20070713,3.83,3.93,3.83,3.89,29143
MYFG,20070713,106,106,105.5,106,1236
MYO,20070713,1.2,1.2,1.185,1.19,230573
NAB,20070713,39.8,40.05,39.75,39.76,6421748
NWS,20070713,27.54,27.55,27.36,27.43,1941619
NWSLV,20070713,25.24,25.39,25.24,25.28,112546
OST,20070713,6.72,6.91,6.68,6.88,3765456
OXR,20070713,4.01,4.05,3.91,3.91,22426751
PBG,20070713,3.64,3.68,3.58,3.6,1761593
PBL,20070713,19.9,20.01,19.77,19.83,3839482
PTM,20070713,7.11,7.12,7.01,7.11,529816
PWR,20070713,0.255,0.255,0.245,0.245,20447
QAN,20070713,5.79,5.79,5.69,5.77,11188114
RIN,20070713,18.46,18.47,18.32,18.44,1013628
RMD,20070713,4.77,4.8,4.74,4.77,1948684
SEK,20070713,8.3,8.44,8.25,8.4,704187
SEV,20070713,11.58,11.65,11.44,11.45,692780
SGB,20070713,35.49,35.49,34.7,34.75,2256366
SGH,20070713,1.69,1.71,1.69,1.71,31812
SGT,20070713,2.68,2.69,2.65,2.67,2217541
SHL,20070713,15.55,15.72,15.35,15.35,569657
TAH,20070713,17.55,17.64,17.38,17.4,1409719
TEL,20070713,4.28,4.31,4.17,4.19,3471682
TEN,20070713,2.69,2.7,2.66,2.68,1102020
TLS,20070713,4.76,4.76,4.72,4.76,27495272
TLSCA,20070713,3.28,3.29,3.25,3.27,11393898
TNE,20070713,1.155,1.23,1.155,1.175,1051627
TTS,20070713,4.95,5.03,4.93,5,7310780
TWR,20070713,2.29,2.35,2.25,2.27,248763
UNW,20070713,0.28,0.28,0.255,0.255,252936
VBA,20070713,2.4,2.4,2.37,2.39,164418
VHL,20070713,0.115,0.125,0.115,0.125,105000
WBC,20070713,26.34,26.35,25.99,26.05,5036545
WDC,20070713,20,20.05,19.69,19.8,8619351
WIG,20070713,3.35,3.35,3.35,3.35,71120
WOW,20070713,28.4,28.85,28.27,28.32,2695968
WPL,20070713,47.69,47.7,46.78,46.78,1698266
WTF,20070713,5.71,5.9,5.58,5.82,132152
ZFX,20070713,21.18,21.18,20.52,20.6,3685016
