ABS,20060725,6.26,6.29,6.21,6.28,1055402
AGL,20060725,19.15,19.17,18.88,18.98,596693
ALL,20060725,11.99,11.99,11.86,11.86,2110300
ALU,20060725,0.42,0.44,0.42,0.44,7500
AMP,20060725,9.03,9.09,8.98,9.08,6265298
ANZ,20060725,25.62,25.75,25.42,25.61,2718247
ASX,20060725,34.99,35.02,34.71,34.85,393424
AUN,20060725,1.36,1.36,1.32,1.33,2473983
BGN,20060725,0.09,0.1,0.09,0.095,206500
BHP,20060725,28.04,28.08,27.83,27.83,18540552
BRZ,20060725,1.57,1.57,1.515,1.515,1489
BSL,20060725,7.1,7.12,6.78,6.84,5415214
BTA,20060725,1.28,1.34,1.28,1.29,522085
CBA,20060725,44.9,44.94,44.4,44.62,3088168
CGF,20060725,3.14,3.14,3.1,3.14,483660
CIR,20060725,1.25,1.25,1.23,1.25,91000
CML,20060725,11.65,11.72,11.6,11.7,3761067
CPU,20060725,7.75,7.82,7.69,7.82,1390424
DJS,20060725,2.87,2.92,2.86,2.92,823396
ERG,20060725,0.08,0.08,0.078,0.08,4955800
ETR,20060725,2.35,2.35,2.32,2.32,32044
FGL,20060725,5.51,5.53,5.46,5.49,4438059
FXJ,20060725,3.96,4.01,3.93,3.97,4884259
GFF,20060725,2.01,2.04,2.01,2.04,30941699
HGI,20060725,1.89,1.895,1.855,1.88,381062
HTA,20060725,0.245,0.245,0.245,0.245,71500
HVN,20060725,3.45,3.49,3.41,3.44,1259731
IAG,20060725,5.27,5.3,5.2,5.25,3630963
IIN,20060725,0.73,0.735,0.72,0.73,142930
IWL,20060725,4.46,4.47,4.46,4.46,49864
JBH,20060725,4.9,4.9,4.87,4.9,51504
KYC,20060725,0.95,0.95,0.91,0.91,12000
MBL,20060725,63.5,63.8,62.42,63,1273071
MYO,20060725,0.935,0.935,0.92,0.93,129875
MYP,20060725,2.47,2.49,2.43,2.48,3473027
NAB,20060725,35.15,35.38,35.1,35.27,4565119
NWS,20060725,25.78,25.78,25.6,25.69,937716
NWSLV,20060725,24.63,24.64,24.57,24.63,295679
OST,20060725,3.93,3.96,3.84,3.87,7342862
PBG,20060725,2.32,2.37,2.32,2.35,2707228
PBL,20060725,17.74,17.75,17.63,17.7,544139
PMN,20060725,5.54,5.57,5.5,5.52,2440658
PWR,20060725,0.525,0.525,0.525,0.525,35000
PWT,20060725,1.05,1.09,1.05,1.09,1950
QAN,20060725,3.07,3.1,3.03,3.09,5677035
RMD,20060725,6.07,6.1,5.99,6.07,827324
SEK,20060725,5,5.03,4.97,4.98,1081189
SEV,20060725,8.79,8.9,8.42,8.88,525766
SGB,20060725,28.86,29.1,28.61,28.73,1634188
SGT,20060725,2.07,2.09,2.06,2.08,178113
SHL,20060725,12.81,12.96,12.7,12.86,439814
TAH,20060725,15.48,15.49,15.26,15.39,1029321
TEL,20060725,3.39,3.48,3.36,3.42,2708614
TEN,20060725,2.9,2.91,2.86,2.91,972532
TLS,20060725,3.85,3.86,3.83,3.84,18217537
TNE,20060725,0.63,0.645,0.63,0.645,123057
TTS,20060725,2.8,2.82,2.75,2.8,1389631
TWR,20060725,2.64,2.64,2.61,2.63,406317
UTB,20060725,14.55,14.6,14.4,14.6,251710
VBA,20060725,1.62,1.65,1.61,1.65,48235
VHL,20060725,0.075,0.078,0.075,0.078,42070
WBC,20060725,22.5,22.52,22.22,22.4,5124866
WDC,20060725,17.88,17.96,17.78,17.78,6180453
WOW,20060725,18.99,19.31,18.84,19.28,3959006
WTF,20060725,3.83,3.85,3.76,3.82,258837
