AAN,20070511,15.5,15.58,15.35,15.39,7000941
ABS,20070511,7.09,7.14,7.04,7.11,1759475
AGF,20070511,1.27,1.285,1.255,1.27,489175
ALL,20070511,15,15.45,15,15.41,2060681
ALU,20070511,1.18,1.21,1.18,1.21,2000
AMP,20070511,10.52,10.57,10.49,10.51,6930012
ANZ,20070511,30.65,30.69,30.42,30.43,14430712
ASX,20070511,46.91,47.19,46.75,46.75,465269
AUN,20070511,1.64,1.69,1.635,1.655,2482442
BHP,20070511,31,31.32,30.78,31,20336034
BJT,20070511,1.91,1.945,1.88,1.92,1618894
BNB,20070511,28.69,29.63,28.65,29.4,1153879
BSL,20070511,12.05,12.1,11.94,12.07,2180540
BTA,20070511,1.75,1.805,1.73,1.805,495159
CBA,20070511,53.7,53.83,53.48,53.61,1670603
CGF,20070511,5.44,5.53,5.42,5.47,695378
CGJ,20070511,17.76,17.82,17.75,17.77,2639955
CIR,20070511,1.47,1.49,1.47,1.49,19936
CPU,20070511,11,11,10.61,10.8,1818030
DJS,20070511,4.94,5.09,4.91,5.03,1803992
ERG,20070511,0.16,0.165,0.155,0.16,1219454
ETR,20070511,4.3,4.31,4.3,4.3,220532
FGL,20070511,6.53,6.62,6.5,6.62,12148557
FXJ,20070511,5.06,5.08,5.05,5.05,5765485
GFF,20070511,2.51,2.51,2.39,2.42,8887147
HGI,20070511,3.87,3.88,3.82,3.84,1662405
HTA,20070511,0.165,0.17,0.165,0.165,248530
HVN,20070511,5.22,5.29,5.19,5.25,866445
IAG,20070511,6.11,6.17,6.11,6.12,4373262
IIN,20070511,1.69,1.695,1.6,1.695,467599
IWL,20070511,4.5,4.64,4.41,4.41,245998
JBH,20070511,8.7,8.75,8.56,8.7,529724
KYC,20070511,0.355,0.365,0.355,0.36,45000
LHG,20070511,2.98,2.99,2.95,2.98,18688003
MBL,20070511,89.05,89.35,87.75,88.9,1000516
MYFG,20070511,111,111,110.01,111,830
MYO,20070511,1.305,1.35,1.265,1.35,1731874
NAB,20070511,43.1,43.41,43.03,43.03,5662695
NWS,20070511,28.08,28.25,28,28,5225310
NWSLV,20070511,25.6,25.89,25.6,25.83,485241
OST,20070511,6.13,6.19,6.05,6.05,3848625
OXR,20070511,3.34,3.37,3.28,3.31,22100414
PBG,20070511,3.29,3.33,3.27,3.3,4299308
PBL,20070511,21.7,21.74,21.55,21.68,2227793
PWR,20070511,0.3,0.3,0.28,0.28,10333
QAN,20070511,5.22,5.22,5.16,5.19,50908036
RIN,20070511,19.15,19.16,19.05,19.05,11908602
RMD,20070511,5.29,5.36,5.25,5.35,4786465
SEK,20070511,7.5,7.51,7.43,7.45,1179062
SEV,20070511,11.92,12.09,11.81,11.9,734109
SGB,20070511,36.64,37,36.4,36.68,1056206
SGT,20070511,2.65,2.68,2.62,2.68,1334550
SHL,20070511,14.35,14.48,14.3,14.44,993411
TAH,20070511,17.53,17.82,17.46,17.65,1588489
TEL,20070511,4.28,4.31,4.25,4.25,1766253
TEN,20070511,3.1,3.15,3.1,3.13,685225
TLS,20070511,4.87,4.89,4.85,4.86,18692443
TLSCA,20070511,3.41,3.43,3.4,3.41,8542069
TNE,20070511,1.045,1.06,1.03,1.03,309408
TTS,20070511,4.95,5.02,4.93,5.01,7640913
TWR,20070511,1.92,1.97,1.89,1.89,656967
UNW,20070511,0.31,0.31,0.3,0.3,396854
VBA,20070511,2.62,2.68,2.62,2.65,52823
VHL,20070511,0.155,0.16,0.155,0.16,20000
WBC,20070511,27.13,27.36,27.13,27.27,5015219
WDC,20070511,21.9,21.94,21.71,21.86,8816270
WOW,20070511,28.7,28.81,28.55,28.72,1555443
WPL,20070511,42.77,42.8,42.15,42.35,3039486
WTF,20070511,4.84,5.11,4.84,5.04,1332199
ZFX,20070511,17.99,18.16,17.79,17.97,5539728
