GICS industry group
"Automobiles & Components"
"Banks"
"Capital Goods"
"Class Pend"
"Commercial Services & Supplies"
"Consumer Durables & Apparel"
"Consumer Services"
"Diversified Financials"
"Energy"
"Food & Staples Retailing"
"Food, Beverage & Tobacco"
"Health Care Equipment & Services"
"Household & Personal Products"
"Insurance"
"Materials"
"Media"
"Not Applic"
"Pharmaceuticals & Biotechnology"
"Real Estate"
"Retailing"
"Semiconductors & Semiconductor Equipment"
"Software & Services"
"Technology Hardware & Equipment"
"Telecommunication Services"
"Transportation"
"Utilities"
