ASX code,Company name,Security type,ISIN code
AFZ20,ABERDEEN ASSETMGTLTD,ABERDEEN AUSTRALIAN SMALL COMPANIES FUND,AU60CSA01318
AFZ21,ABERDEEN ASSETMGTLTD,ABERDEEN AUSTRALIAN FIXED INCOME FUND,AU60CRS00041
AFZ29,ABERDEEN ASSETMGTLTD,ABERDEEN DIVERSIFIED FIXED INCOME FUND,AU60CSA00625
AFZ30,ABERDEEN ASSETMGTLTD,ABERDEEN FULLY HEDGED INTERNATIONAL EQUITIES FUND,AU60CSA01359
ALR,ABERDEEN LEADERS,ORDINARY FULLY PAID,AU000000ALR4
ABL,ABILENE OIL & GAS,ORDINARY FULLY PAID,AU000000ABL8
ABLDA,ABILENE OIL & GAS,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ABLDA0
ABLN,ABILENE OIL & GAS,ORDINARY FULLY PAID DEFERRED,AU00000ABLN6
ABLAA,ABILENE OIL & GAS,OPTION EXPIRING 31-OCT-2017 EX 8C,AU0000ABLAA6
ABU,ABM RESOURCES NL,ORDINARY FULLY PAID,AU000000ABU9
ABUDA,ABM RESOURCES NL,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ABUDA1
AJC,ACACIA COAL LTD,ORDINARY FULLY PAID,AU000000AJC0
AJCAI,ACACIA COAL LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AJCAI1
AJCAM,ACACIA COAL LTD,CLASS B PERFORMANCE SHARES EXPIRING 23-JUN-2014,AU0000AJCAM3
AKG,ACADEMIES AUS GRP,ORDINARY FULLY PAID,AU000000AKG9
AXX,ACCC,ACCC,AU000000AXX7
ACS,ACCENT RESOURCES NL,ORDINARY FULLY PAID,AU000000ACS1
ACSAI,ACCENT RESOURCES NL,OPTION EXPIRING 01-DEC-2012 EX 20C,AU0000ACSAI2
ACX,ACONEX LIMITED,ORDINARY FULLY PAID,AU000000ACX1
ACXXX,ACONEX LIMITED,INSTITUTIONAL OFFER,AU0000ACXXX3
ACXYY,ACONEX LIMITED,BROKER FIRM OFFER,AU0000ACXYY9
ACXZZ,ACONEX LIMITED,BROKER FIRM OFFER,AU0000ACXZZ3
ACXAA,ACONEX LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ACXAA9
ACQ,ACORN CAP INV FUND,ORDINARY FULLY PAID,AU000000ACQ5
ACQO,ACORN CAP INV FUND,OPTION EXPIRING 24-OCT-2015,AU00000ACQO1
ACR,ACRUX LIMITED,ORDINARY FULLY PAID,AU000000ACR3
ACRAA,ACRUX LIMITED,OPTION EXPIRING 31-JUL-2016 EX $4.30,AU0000ACRAA1
ACW,ACTINOGEN LIMITED,ORDINARY FULLY PAID,AU000000ACW3
ACWDA,ACTINOGEN LIMITED,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ACWDA5
ACWDB,ACTINOGEN LIMITED,OPTION EXPIRING 30-SEP-2015 DEFERRED SETTLEMENT,AU0000ACWDB3
ACWOA,ACTINOGEN LIMITED,OPTION EXPIRING 30-SEP-2015,AU0000ACWOA2
ACWAI,ACTINOGEN LIMITED,OPTION EXPIRING 30-NOV-2018 EX 2C,AU0000ACWAI4
AIV,ACTIVEX LIMITED,ORDINARY FULLY PAID,AU000000AIV2
AIVAW,ACTIVEX LIMITED,OPTION EXPIRING 20-OCT-2015 EX 3C,AU0000AIVAW4
AIVAI,ACTIVEX LIMITED,OPTION EXPIRING 31-JAN-2017 EX 3C,AU0000AIVAI3
AIVAO,ACTIVEX LIMITED,OPTION EXPIRING 31-AUG-2016 EX 6C,AU0000AIVAO1
ACU,ACUVAX LIMITED,ORDINARY FULLY PAID,AU000000ACU7
ACUDA,ACUVAX LIMITED,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ACUDA9
ACUAI,ACUVAX LIMITED,OPTION EXPIRING 19-AUG-2013 EX 5C,AU0000ACUAI8
ADA,ADACEL TECHNOLOGIES,ORDINARY FULLY PAID,AU000000ADA7
ADD,ADAVALE RESOURCE LTD,ORDINARY FULLY PAID,AU000000ADD1
ADDDA,ADAVALE RESOURCE LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ADDDA3
ADDAM,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2015 CLASS C EX 90C,AU0000ADDAM4
ADDAO,ADAVALE RESOURCE LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ADDAO0
ADDAU,ADAVALE RESOURCE LTD,OPTION EXPIRING 31-JUL-2014 EX 4C,AU0000ADDAU7
