EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE,TYPE
03/09/2015,0.053,100%,0.023,07/09/2015,28/09/2015,Final
04/03/2016,0.05,100%,0.022,08/03/2016,29/03/2016,Interim
