Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,null,null,null,null,null,null
2004-01-02,3305.300049,3310.800049,3304.800049,3309.800049,3309.800049,112177800
2004-01-05,3308.800049,3309.399902,3293.899902,3296.500000,3296.500000,289739800
2004-01-06,3302.800049,3331.100098,3302.800049,3325.399902,3325.399902,418744200
2004-01-07,3321.399902,3321.399902,3304.800049,3309.899902,3309.899902,536470600
2004-01-08,3306.100098,3312.800049,3303.199951,3304.600098,3304.600098,495413600
2004-01-09,3306.399902,3319.500000,3306.399902,3307.100098,3307.100098,539896600
2004-01-12,3303.100098,3310.699951,3292.800049,3308.699951,3308.699951,458278600
2004-01-13,3312.899902,3322.000000,3300.699951,3300.800049,3300.800049,618685800
2004-01-14,3303.100098,3316.399902,3296.000000,3314.699951,3314.699951,568846600
2004-01-15,3315.199951,3320.800049,3306.199951,3312.600098,3312.600098,549311000
2004-01-16,3310.199951,3317.500000,3294.899902,3298.100098,3298.100098,540879800
2004-01-19,3303.100098,3321.800049,3303.100098,3312.500000,3312.500000,655835800
2004-01-20,3313.600098,3323.000000,3313.600098,3320.800049,3320.800049,470415200
2004-01-21,3319.600098,3325.399902,3304.100098,3320.699951,3320.699951,567898600
2004-01-22,3322.500000,3339.399902,3322.500000,3339.399902,3339.399902,444252600
2004-01-23,3338.000000,3348.000000,3330.500000,3346.199951,3346.199951,401181000
2004-01-26,null,null,null,null,null,null
2004-01-27,3349.300049,3357.100098,3324.699951,3324.699951,3324.699951,547873600
2004-01-28,3321.399902,3321.399902,3289.699951,3292.199951,3292.199951,805549600
2004-01-29,3287.899902,3288.300049,3271.199951,3276.600098,3276.600098,592062000
2004-01-30,3275.500000,3297.600098,3274.500000,3283.600098,3283.600098,603412400
2004-02-02,3284.899902,3296.399902,3282.100098,3287.199951,3287.199951,459438400
2004-02-03,3287.000000,3294.600098,3273.600098,3277.800049,3277.800049,537790000
2004-02-04,3278.899902,3287.100098,3277.600098,3279.800049,3279.800049,513044800
2004-02-05,3280.399902,3284.000000,3266.800049,3274.899902,3274.899902,500513600
2004-02-06,3274.000000,3287.199951,3274.000000,3285.000000,3285.000000,375902200
2004-02-09,3290.100098,3310.399902,3289.300049,3300.000000,3300.000000,404072000
2004-02-10,3303.899902,3306.800049,3299.500000,3301.199951,3301.199951,611981000
2004-02-11,3301.899902,3319.399902,3301.800049,3315.300049,3315.300049,580440400
2004-02-12,3319.600098,3341.899902,3318.899902,3339.899902,3339.899902,586608000
2004-02-13,3342.899902,3351.800049,3336.899902,3347.800049,3347.800049,552860200
2004-02-16,3347.300049,3347.300049,3333.500000,3337.199951,3337.199951,358918800
2004-02-17,3337.500000,3346.399902,3337.500000,3346.399902,3346.399902,475215200
2004-02-18,3351.600098,3370.100098,3351.399902,3365.199951,3365.199951,553095000
2004-02-19,3368.000000,3369.899902,3361.800049,3366.899902,3366.899902,522833600
2004-02-20,3372.100098,3372.199951,3359.300049,3359.500000,3359.500000,486859200
2004-02-23,3359.600098,3360.100098,3348.100098,3354.300049,3354.300049,560396600
2004-02-24,3354.100098,3354.300049,3341.500000,3344.199951,3344.199951,541742200
2004-02-25,3341.699951,3350.000000,3337.000000,3346.500000,3346.500000,606034600
2004-02-26,3345.800049,3359.199951,3345.000000,3358.100098,3358.100098,541446600
2004-02-27,3360.500000,3372.699951,3359.899902,3372.500000,3372.500000,718192200
2004-03-01,3376.500000,3392.000000,3376.199951,3389.899902,3389.899902,481996200
2004-03-02,3396.699951,3407.399902,3396.399902,3398.199951,3398.199951,568617200
2004-03-03,3399.300049,3402.000000,3394.699951,3399.000000,3399.000000,651699200
2004-03-04,3399.100098,3411.300049,3392.199951,3399.699951,3399.699951,727061800
2004-03-05,3401.399902,3416.300049,3401.000000,3416.300049,3416.300049,524661600
2004-03-08,3419.100098,3432.600098,3418.399902,3425.500000,3425.500000,492131600
2004-03-09,3423.300049,3431.199951,3417.199951,3427.199951,3427.199951,529978400
2004-03-10,3423.600098,3423.899902,3407.600098,3414.300049,3414.300049,673890800
2004-03-11,3408.600098,3411.899902,3392.500000,3411.899902,3411.899902,653720400
2004-03-12,3407.600098,3407.600098,3392.199951,3402.100098,3402.100098,460271200
2004-03-15,3407.199951,3418.699951,3406.399902,3410.300049,3410.300049,404857000
2004-03-16,3409.399902,3411.800049,3393.899902,3410.100098,3410.100098,767915600
2004-03-17,3412.699951,3437.399902,3412.399902,3432.300049,3432.300049,561651400
2004-03-18,3432.500000,3448.500000,3423.600098,3424.600098,3424.600098,812519400
2004-03-19,3425.500000,3434.399902,3424.399902,3429.800049,3429.800049,595383400
2004-03-22,3428.600098,3428.600098,3399.399902,3399.600098,3399.600098,462121200
2004-03-23,3394.600098,3395.000000,3381.100098,3388.000000,3388.000000,668311400
2004-03-24,3387.399902,3394.600098,3381.199951,3385.100098,3385.100098,601496400
2004-03-25,3385.100098,3395.699951,3375.800049,3395.699951,3395.699951,586002800
2004-03-26,3397.300049,3431.199951,3397.300049,3424.199951,3424.199951,723834200
2004-03-29,3424.100098,3424.100098,3407.600098,3409.100098,3409.100098,502265800
2004-03-30,3411.100098,3422.600098,3410.899902,3416.899902,3416.899902,557073200
2004-03-31,3418.800049,3426.800049,3416.399902,3416.399902,3416.399902,560308200
2004-04-01,3419.399902,3443.899902,3419.199951,3443.899902,3443.899902,589684600
2004-04-02,3444.899902,3445.000000,3435.600098,3437.399902,3437.399902,696633400
2004-04-05,3438.100098,3456.800049,3438.000000,3453.199951,3453.199951,517921400
2004-04-06,3455.100098,3464.500000,3454.899902,3456.000000,3456.000000,564727400
2004-04-07,3456.100098,3472.199951,3454.000000,3462.899902,3462.899902,573249000
2004-04-08,3460.500000,3460.500000,3453.199951,3456.600098,3456.600098,409329800
2004-04-09,null,null,null,null,null,null
2004-04-12,null,null,null,null,null,null
2004-04-13,3459.399902,3462.000000,3441.500000,3443.800049,3443.800049,375675600
2004-04-14,3438.800049,3442.199951,3428.100098,3440.800049,3440.800049,568813200
2004-04-15,3440.500000,3452.699951,3421.699951,3425.699951,3425.699951,671973200
2004-04-16,3426.899902,3431.199951,3416.000000,3424.300049,3424.300049,547223800
2004-04-19,3427.000000,3439.699951,3426.600098,3439.699951,3439.699951,416157000
2004-04-20,3439.600098,3457.899902,3439.300049,3457.199951,3457.199951,497587400
2004-04-21,3453.600098,3453.600098,3444.000000,3444.699951,3444.699951,603395000
2004-04-22,3442.399902,3455.500000,3435.600098,3441.899902,3441.899902,522827400
2004-04-23,3446.000000,3472.500000,3446.000000,3461.500000,3461.500000,858047000
2004-04-26,3462.600098,3464.500000,3454.699951,3455.399902,3455.399902,194470800
2004-04-27,3454.899902,3455.199951,3443.500000,3452.300049,3452.300049,542535000
2004-04-28,3452.100098,3457.000000,3446.199951,3450.399902,3450.399902,523541600
2004-04-29,3441.100098,3441.100098,3397.899902,3407.800049,3407.800049,694516400
2004-04-30,3404.600098,3410.800049,3386.699951,3407.699951,3407.699951,854258200
2004-05-03,3406.000000,3406.000000,3384.100098,3388.000000,3388.000000,519587400
2004-05-04,3391.000000,3404.199951,3390.899902,3398.399902,3398.399902,548528800
2004-05-05,3401.699951,3417.600098,3400.699951,3413.699951,3413.699951,573373000
2004-05-06,3413.000000,3414.800049,3397.300049,3406.500000,3406.500000,686321600
2004-05-07,3401.100098,3405.800049,3386.800049,3401.199951,3401.199951,632314600
2004-05-10,3400.500000,3400.500000,3361.500000,3361.899902,3361.899902,561540400
2004-05-11,3361.699951,3362.899902,3348.399902,3362.899902,3362.899902,646647200
2004-05-12,3365.600098,3385.300049,3365.500000,3383.899902,3383.899902,467134000
2004-05-13,3383.199951,3390.600098,3376.100098,3376.199951,3376.199951,522934600
2004-05-14,3374.800049,3377.899902,3365.000000,3366.800049,3366.800049,496956000
2004-05-17,3367.899902,3369.699951,3347.699951,3349.399902,3349.399902,410668200
2004-05-18,3349.500000,3373.100098,3346.800049,3372.500000,3372.500000,581403200
2004-05-19,3374.500000,3389.800049,3369.699951,3389.800049,3389.800049,578784200
2004-05-20,3390.699951,3391.100098,3375.500000,3378.899902,3378.899902,518684000
2004-05-21,3377.699951,3396.300049,3377.199951,3394.199951,3394.199951,474020600
2004-05-24,3397.500000,3403.800049,3391.699951,3398.399902,3398.399902,362344400
2004-05-25,3399.600098,3406.899902,3390.399902,3393.699951,3393.699951,525051800
2004-05-26,3399.300049,3425.699951,3398.899902,3422.300049,3422.300049,694685600
2004-05-27,3423.899902,3441.699951,3422.899902,3441.199951,3441.199951,656095600
2004-05-28,3444.199951,3462.199951,3444.000000,3447.300049,3447.300049,934804800
2004-05-31,3447.500000,3460.699951,3446.800049,3456.899902,3456.899902,492759800
2004-06-01,3456.199951,3459.100098,3451.199951,3454.600098,3454.600098,462775200
2004-06-02,3456.100098,3474.300049,3456.100098,3473.100098,3473.100098,543709000
2004-06-03,3470.899902,3474.800049,3461.300049,3465.600098,3465.600098,532561000
2004-06-04,3466.100098,3469.600098,3459.300049,3466.600098,3466.600098,403422600
2004-06-07,3469.300049,3484.699951,3468.699951,3482.300049,3482.300049,423747200
2004-06-08,3487.800049,3498.300049,3480.100098,3482.399902,3482.399902,534032800
2004-06-09,3484.000000,3484.300049,3461.100098,3466.600098,3466.600098,621507800
2004-06-10,3466.199951,3473.199951,3459.899902,3469.100098,3469.100098,662315600
2004-06-11,3471.899902,3480.800049,3471.899902,3478.100098,3478.100098,409530000
2004-06-14,null,null,null,null,null,null
2004-06-15,3472.800049,3473.500000,3458.600098,3467.600098,3467.600098,467222600
2004-06-16,3469.699951,3488.500000,3469.699951,3484.600098,3484.600098,652191800
2004-06-17,3486.800049,3506.800049,3486.199951,3506.800049,3506.800049,1049312400
2004-06-18,3512.600098,3526.899902,3511.500000,3523.300049,3523.300049,704611200
2004-06-21,3526.199951,3549.000000,3525.399902,3547.399902,3547.399902,683490200
2004-06-22,3546.500000,3546.500000,3532.300049,3533.899902,3533.899902,602334200
2004-06-23,3534.800049,3549.000000,3534.800049,3545.300049,3545.300049,689157000
2004-06-24,3545.100098,3545.100098,3519.399902,3524.800049,3524.800049,681644000
2004-06-25,3525.300049,3532.100098,3521.500000,3523.000000,3523.000000,852994200
2004-06-28,3524.000000,3524.100098,3511.800049,3518.500000,3518.500000,443377200
2004-06-29,3517.899902,3523.699951,3510.699951,3517.500000,3517.500000,574569200
2004-06-30,3519.199951,3532.100098,3516.800049,3530.300049,3530.300049,680110000
2004-07-01,3532.399902,3537.300049,3526.300049,3534.000000,3534.000000,726767000
2004-07-02,3532.100098,3534.300049,3523.199951,3531.500000,3531.500000,647767000
2004-07-05,3531.600098,3534.399902,3518.899902,3534.399902,3534.399902,488464400
2004-07-06,3536.000000,3557.800049,3535.899902,3551.500000,3551.500000,552743000
2004-07-07,3549.300049,3559.899902,3541.699951,3559.899902,3559.899902,588724000
2004-07-08,3560.199951,3562.899902,3546.699951,3562.800049,3562.800049,732946200
2004-07-09,3560.800049,3560.899902,3548.500000,3558.899902,3558.899902,559019600
2004-07-12,3560.100098,3563.100098,3552.100098,3554.000000,3554.000000,349676200
2004-07-13,3554.600098,3555.800049,3549.100098,3554.899902,3554.899902,424928800
2004-07-14,3553.300049,3553.500000,3521.000000,3524.100098,3524.100098,550854000
2004-07-15,3524.699951,3532.000000,3521.399902,3527.699951,3527.699951,479677800
2004-07-16,3527.500000,3539.800049,3523.899902,3533.500000,3533.500000,460662600
2004-07-19,3534.399902,3537.300049,3529.199951,3535.100098,3535.100098,384696600
2004-07-20,3533.100098,3533.199951,3503.300049,3507.100098,3507.100098,615247000
2004-07-21,3509.199951,3528.100098,3509.000000,3528.100098,3528.100098,592332000
2004-07-22,3525.399902,3525.399902,3495.699951,3505.500000,3505.500000,550571400
2004-07-23,3505.600098,3514.600098,3495.699951,3495.699951,3495.699951,626757200
2004-07-26,3491.800049,3498.699951,3488.899902,3495.600098,3495.600098,518251000
2004-07-27,3496.800049,3510.000000,3496.699951,3500.100098,3500.100098,572555600
2004-07-28,3500.800049,3517.399902,3500.800049,3510.300049,3510.300049,510376000
2004-07-29,3512.600098,3520.800049,3512.300049,3512.600098,3512.600098,674634200
2004-07-30,3516.699951,3548.000000,3516.699951,3546.100098,3546.100098,662085400
2004-08-02,3544.800049,3558.199951,3542.699951,3554.500000,3554.500000,283907600
2004-08-03,3555.300049,3572.500000,3555.100098,3565.300049,3565.300049,500523200
2004-08-04,3566.800049,3567.899902,3551.300049,3555.500000,3555.500000,545679000
2004-08-05,3556.100098,3556.100098,3533.100098,3546.199951,3546.199951,589903400
2004-08-06,3542.500000,3543.399902,3528.199951,3538.899902,3538.899902,569335400
2004-08-09,3536.600098,3536.600098,3505.800049,3519.500000,3519.500000,444127800
2004-08-10,3518.300049,3525.100098,3508.600098,3509.199951,3509.199951,672641200
2004-08-11,3514.699951,3534.300049,3514.699951,3520.100098,3520.100098,558065200
2004-08-12,3517.899902,3518.300049,3493.000000,3495.699951,3495.699951,484148800
