360,20200908,4.47,4.49,4.28,4.35,613426
14D,20200908,0.13,0.13,0.12,0.13,64964
1AD,20200908,0.11,0.115,0.105,0.11,574008
1ADO,20200908,0.011,0.011,0.011,0.011,0
1AG,20200908,0.051,0.051,0.051,0.051,0
1ST,20200908,0.032,0.032,0.031,0.031,339766
2BE,20200908,0.087,0.087,0.087,0.087,39999
2BEO,20200908,0.02,0.02,0.02,0.02,0
3DA,20200908,0.325,0.325,0.31,0.31,318615
3DP,20200908,0.475,0.475,0.46,0.465,3392084
3PL,20200908,1.34,1.345,1.33,1.335,39872
4CE,20200908,0.012,0.012,0.012,0.012,0
4DS,20200908,0.047,0.05,0.046,0.05,3238590
4DX,20200908,1.485,1.51,1.445,1.445,463543
5GN,20200908,2.01,2.09,1.98,2.03,1991900
88E,20200908,0.005,0.006,0.005,0.006,26903316
8CO,20200908,0.125,0.125,0.11,0.11,1253754
8EC,20200908,0.078,0.078,0.078,0.078,0
8IH,20200908,0.105,0.105,0.105,0.105,36552
8VI,20200908,0.6,0.6,0.6,0.6,18227
9SP,20200908,0.036,0.037,0.034,0.035,6271491
A1G,20200908,0.14,0.145,0.14,0.145,17845
A1M,20200908,0.42,0.425,0.42,0.425,20215
A200,20200908,100.87,101.5,100.5,101.15,36713
A2B,20200908,1.13,1.13,1.08,1.1,154181
A2M,20200908,16.88,16.97,16.69,16.76,2115345
A3D,20200908,0.11,0.125,0.105,0.125,1170358
A40,20200908,0.082,0.082,0.082,0.082,0
A4N,20200908,0.215,0.24,0.215,0.24,655242
AAA,20200908,50.08,50.08,50.07,50.08,47454
AAC,20200908,1.045,1.05,1.035,1.04,313997
AAJ,20200908,0.008,0.01,0.008,0.009,62203233
AAP,20200908,0.016,0.016,0.016,0.016,0
AAR,20200908,0.2,0.23,0.2,0.215,2233251
AASF,20200908,2.7,2.7,2.69,2.69,8889
ABA,20200908,5,5,4.91,4.92,6326
ABC,20200908,2.69,2.755,2.67,2.74,1595414
ABL,20200908,0.001,0.001,0.001,0.001,0
ABP,20200908,2.7,2.83,2.7,2.82,705168
ABR,20200908,0.875,0.885,0.825,0.84,940798
ABV,20200908,0.032,0.032,0.032,0.032,0
ABW,20200908,0.19,0.19,0.19,0.19,0
ABX,20200908,0.11,0.11,0.11,0.11,3500
AC8,20200908,0.145,0.15,0.14,0.15,496615
ACB,20200908,0.021,0.021,0.021,0.021,194537
ACDC,20200908,60.1,60.33,59.95,59.95,5847
ACF,20200908,0.33,0.35,0.32,0.34,381488
ACP,20200908,0.012,0.012,0.012,0.012,0
ACQ,20200908,1.2,1.2,1.195,1.2,29250
ACR,20200908,0.17,0.175,0.17,0.175,232310
ACS,20200908,0.012,0.012,0.012,0.012,0
ACU,20200908,0.12,0.12,0.115,0.115,27000
ACW,20200908,0.027,0.027,0.026,0.026,631472
AD1,20200908,0.05,0.052,0.05,0.052,348187
AD8,20200908,5.31,5.37,5.14,5.17,167831
ADA,20200908,0.715,0.72,0.715,0.72,11388
ADD,20200908,0.034,0.038,0.034,0.035,5215092
ADH,20200908,3.39,3.42,3.22,3.26,1040805
ADI,20200908,2.52,2.58,2.52,2.58,73094
ADN,20200908,0.053,0.063,0.051,0.059,25395422
ADNOB,20200908,0.04,0.049,0.04,0.047,5592830
ADO,20200908,0.048,0.049,0.048,0.048,1476209
